rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
539711,320531,mobile,ended,,,,Unknown,,,,,,,,,,
539865,277766,mobile,ended,28.0,,,Late,,,,,,,,,,
539923,247971,mobile,ended,-51.0,,,In time,,,,,,,,,,
539995,258837,mobile,ended,93.0,,,Late,,,,,,,,,,
540018,245480,mobile,ended,-196.0,,,In time,,,,,,,,,,
540190,365531,mobile,ended,9.0,,,Late,,,,,,,,,,
540217,398802,mobile,ended,-988.0,543426.0,720.0,In time,543426.0,398802.0,mobile,ended,51.0,546955.0,720.0,Late,-669.0,In time
540298,202057,mobile,ended,-6.0,,,In time,,,,,,,,,,
540330,362860,mobile,ended,-18.0,,,In time,,,,,,,,,,
540360,404476,mobile,ended,,,,Unknown,,,,,,,,,,
540369,341086,mobile,ended,-62.0,,,In time,,,,,,,,,,
540434,402505,mobile,ended,210.0,,,Late,,,,,,,,,,
540479,374684,mobile,ended,12.0,539751.0,0.0,Late,539751.0,374684.0,mobile,ended,3.0,537514.0,660.0,Late,3.0,Late
540553,303506,mobile,ended,-24.0,,,In time,,,,,,,,,,
540633,396732,mobile,ended,-5.0,,,In time,,,,,,,,,,
540643,217777,connect,canceled,,,,Unknown,,,,,,,,,,
540649,352528,connect,ended,90.0,,,Late,,,,,,,,,,
540735,314897,mobile,ended,-14.0,,,In time,,,,,,,,,,
540966,405906,mobile,ended,11.0,,,Late,,,,,,,,,,
541014,321607,mobile,ended,-7.0,,,In time,,,,,,,,,,
541060,280562,mobile,ended,146.0,,,Late,,,,,,,,,,
541174,284552,mobile,ended,-25.0,,,In time,,,,,,,,,,
541334,372670,mobile,ended,,,,Unknown,,,,,,,,,,
541372,387559,mobile,ended,13.0,,,Late,,,,,,,,,,
541590,378418,mobile,canceled,,,,Unknown,,,,,,,,,,
541784,408830,mobile,ended,52.0,,,Late,,,,,,,,,,
541862,382364,mobile,ended,125.0,540607.0,0.0,Late,540607.0,382364.0,mobile,ended,1.0,,,Late,1.0,Late
541884,398604,mobile,ended,,,,Unknown,,,,,,,,,,
541948,321674,mobile,ended,165.0,,,Late,,,,,,,,,,
541991,329496,mobile,ended,-25.0,,,In time,,,,,,,,,,
542033,164574,mobile,ended,,,,Unknown,,,,,,,,,,
542106,392656,mobile,ended,,,,Unknown,,,,,,,,,,
542149,371368,mobile,ended,83.0,,,Late,,,,,,,,,,
542203,388268,mobile,ended,69.0,,,Late,,,,,,,,,,
